Product Name,Product Url,Prices,Rating,Number of Review
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",https://www.flipkart.com/samsung-galaxy-f13-sunrise-copper-64-gb/p/itm0d8c65ec17621?pid=MOBGENJWWRYSFC5P&lid=LSTMOBGENJWWRYSFC5P0ONQMC&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGENJWWRYSFC5P.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹9,599",4.3,"9,205"
"Infinix Smart 7 HD (Green Apple, 64 GB)",https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZNM9FZAVPXAA.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹6,199",4.3,630
"Infinix SMART 7 (Azure Blue, 64 GB)",https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMSRLXTO&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400"
"POCO C55 (Cool Blue, 64 GB)",https://www.flipkart.com/poco-c55-cool-blue-64-gb/p/itm166c52f5d5dc0?pid=MOBGMXSW55C7ZJE7&lid=LSTMOBGMXSW55C7ZJE7OFBLA7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGMXSW55C7ZJE7.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,499",4.2,"2,027"
"POCO C51 (Royal Blue, 64 GB)",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹6,499",4.2,"1,231"
"POCO C50 (Country Green, 32 GB)",https://www.flipkart.com/poco-c50-country-green-32-gb/p/itm0b3d5144d9c22?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGK8WZYEJ3G5AA.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹5,499",4.2,"2,039"
"POCO C50 (Royal Blue, 32 GB)",https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹5,499",4.2,"2,039"
"Infinix SMART 7 (Emerald Green, 64 GB)",https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400"
"POCO C55 (Power Black, 64 GB)",https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,499",4.2,"2,027"
"MOTOROLA g42 (Atlantic Green, 64 GB)",https://www.flipkart.com/motorola-g42-atlantic-green-64-gb/p/itmcd4986b7d00b5?pid=MOBGBUPWDZHQYXNB&lid=LSTMOBGBUPWDZHQYXNB41TBQE&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGBUPWDZHQYXNB.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹9,999",4.2,817
"Infinix HOT 30i (Diamond White, 128 GB)",https://www.flipkart.com/infinix-hot-30i-diamond-white-128-gb/p/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid=LSTMOBGNPK29ZWFHGGDKTDNDX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK29ZWFHGGD.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹8,999",4.3,"2,661"
"Infinix HOT 30i (Marigold, 128 GB)",https://www.flipkart.com/infinix-hot-30i-marigold-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2GNWPUGWW&lid=LSTMOBGNPK2GNWPUGWWWTPN01&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK2GNWPUGWW.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹8,999",4.3,"2,661"
"Infinix SMART 7 (Night Black, 64 GB)",https://www.flipkart.com/infinix-smart-7-night-black-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2T7W2UPB9&lid=LSTMOBGMTW2T7W2UPB9VAZZSU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGMTW2T7W2UPB9.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400"
"Infinix HOT 30i (Marigold, 64 GB)",https://www.flipkart.com/infinix-hot-30i-marigold-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2KCH77U28&lid=LSTMOBGNPK2KCH77U289VSAZE&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK2KCH77U28.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,999",4.3,573
"Infinix HOT 30i (Diamond White, 64 GB)",https://www.flipkart.com/infinix-hot-30i-diamond-white-64-gb/p/itm8b42a43b35895?pid=MOBGNPK4PTXGANTP&lid=LSTMOBGNPK4PTXGANTPXFOPAU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGNPK4PTXGANTP.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹7,999",4.3,573
"vivo T2x 5G (Aurora Gold, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSI1GIZR&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹13,999",4.4,"4,099"
"vivo T2x 5G (Glimmer Black, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹15,999",4.3,"1,053"
"vivo T2x 5G (Marine Blue, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNRCJ28C&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹13,999",4.4,"4,099"
"vivo T2x 5G (Marine Blue, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRNME6VW&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹15,999",4.3,"1,053"
"vivo T2x 5G (Aurora Gold, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASXKM9M4E&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹15,999",4.3,"1,053"
"vivo T2x 5G (Glimmer Black, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPKCQWJ4&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹13,999",4.4,"4,099"
"vivo T2x 5G (Glimmer Black, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWSIG1N1&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹12,999",4.4,"2,072"
"vivo T2x 5G (Aurora Gold, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHXWZGSH&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹12,999",4.4,"2,072"
"vivo T2x 5G (Marine Blue, 128 GB)",https://www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=419d8a99-46a5-4749-9b5b-14f5327fda2b.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=d6lxrtadvk0000001690233382035&qH=532c28d5412dd75b,"₹12,999",4.4,"2,072"
